Date,Open,High,Low,Close,Volume
2024-01-01,150.00,155.50,149.00,154.20,1000000
2024-01-02,154.20,158.75,153.10,157.30,1200000
2024-01-03,157.30,159.80,155.90,156.45,900000
2024-01-04,156.45,161.20,155.00,160.80,1100000
2024-01-05,160.80,163.50,159.30,162.15,1300000
2024-01-08,162.15,164.90,160.75,163.80,1150000
2024-01-09,163.80,166.25,162.40,165.90,1250000
2024-01-10,165.90,167.80,164.20,166.75,1050000
2024-01-11,166.75,169.30,165.50,168.40,1400000
2024-01-12,168.40,170.85,167.20,169.95,1350000
2024-01-16,169.95,172.40,168.80,171.25,1200000
2024-01-17,171.25,173.60,170.10,172.80,1300000
2024-01-18,172.80,174.95,171.50,173.45,1100000
2024-01-19,173.45,175.20,172.30,174.60,1250000
2024-01-22,174.60,176.80,173.40,175.90,1400000
2024-01-23,175.90,178.25,174.70,177.35,1500000
2024-01-24,177.35,179.60,176.20,178.80,1350000
2024-01-25,178.80,180.45,177.60,179.25,1200000
2024-01-26,179.25,181.70,178.10,180.95,1450000
2024-01-29,180.95,182.80,179.80,181.60,1300000
